year,date_or_period,lead_type,description,evidence_url,status,next_action
2008,2008,award_title_anchor,"中国少年儿童报刊工作者协会获奖/入选资料明确列出《齐鲁少年报》纪晶文章《尖子生落马三好评选——也谈德智体全面发展》",https://paccp.k618.cn/grb/200810/t20081024_19683370.html,strong_metadata,"按完整标题、作者纪晶、旧大众网/QQ空间/新浪博客/学校转载反查原版页面或扫描"
2008,2008,award_title_anchor,"中国少年儿童报刊工作者协会资料明确列出《齐鲁少年报》纪晶文章《穿越罗布泊的女孩》",https://paccp.k618.cn/grb/200810/t20081024_19683370.html,strong_metadata,"按完整标题、作者纪晶反查报纸原版页面或扫描"
2008,2008,award_title_anchor,"中国少年儿童报刊工作者协会资料明确列出《齐鲁少年报》王育红文章《铁窗外的期盼——写给大墙内的妈妈》",https://paccp.k618.cn/grb/200810/t20081024_19683370.html,strong_metadata,"按完整标题、作者王育红反查报纸原版页面或扫描"
2009,2009-08-15,official_qzone,"《齐鲁少年》编辑部投稿说明明确公布官方‘齐鲁少年’QQ空间 http://857087447.qzone.qq.com，并称可在空间浏览征稿内容、留言和写信",https://blog.sina.cn/dpool/blog/s/blog_4c4fc7d90100el5d.html,strong_lead,"枚举857087447.qzone.qq.com、user.qzone.qq.com/857087447的Wayback/Common Crawl快照及旧相册/CDN资源"
2020,2020-11-30,cms_lower_bound,"szb.cnssiot.cn 快照日历 mindate=2020-11-30，证明该数字报系统至少从此日期覆盖《齐鲁少年》",https://web.archive.org/web/20220928010853/http://szb.cnssiot.cn/,strong_lead,"恢复 2020-11-30 日期页、版面页和 Img/PDF 静态资源"
2021,2021-12-25,static_page_image,"云展网静态 CDN 仍保存《齐鲁少年》整版图，内容对应 CMS A1 的‘2021，小小少年们的暖心时刻’",https://www.yunzhan365.com/newspapers/publications/images/%E9%BD%90%E9%B2%81%E5%B0%91%E5%B9%B4%20.jpg,verified_image,"已升格进入electronic_records.csv；继续追查同目录静态图、缓存副本和历史文件名"
2022,2022-01,winter_combined_issue,"鲁中网报道学校收到并阅读 2022 寒假合刊，文章含多张报纸实拍图，但尚未取得可直接辨识的整版原图 URL",https://news.lznews.cn/edu/ttxw/202201/t20220121_9728731.html,strong_lead,"反查页面媒体附件/缓存，识别期号与版面"
2022,2022-02_to_2022-06-13,official_publication_batch,"退役军人事务部公开材料记载‘写给青少年的山东英烈故事’征文中，截至2022-06-13已有14篇精选稿件在《山东青年报》《齐鲁少年》及主办方新媒体刊发/推送；仓库另存50篇获奖题名作为反查字典",https://www.mva.gov.cn/sy/zzxc/202210/t20221013_67024.html,strong_lead,"逐篇用50篇题名+作者反查《齐鲁少年》版面截图、公众号镜像、学校转载和搜狐/大众网图片CDN，确认其中属于《齐鲁少年》的14篇子集"
2024,2024,physical_bound_volume_images,"孔夫子旧书网曾公开售出《齐鲁少年/2024年合订本》，标注中文、8开，搜索缓存显示至少封面/图2/图3三个‘查看原图’入口；这是全年原刊版面实物图像种子，不等同电子版",https://book.kongfz.com/837895/9278771011/,strong_layout_lead,"反查商品原图CDN、搜索引擎图片缓存和同款合订本其他卖家；以可见报头/日期/期号的内页做反向搜图寻找扫描或电子备份"
2025,2025,winter_combined_issue_28,"湖南大学教师简历明确记载黄茜《解锁生活中的色彩美学》发表于《齐鲁少年报》2025寒假合刊第28期",https://arch.hnu.edu.cn/__local/7/B1/32/74DEFBF7AF1BCB63287D8DC8B04_6C740019_4300E.pdf,strong_metadata,"用文章题名、作者、寒假合刊第28期反查扫描/电子版"
2026,2026-06-23,front_page_report,"搜狐教育频道索引保留标题《齐鲁少年》报头版头条点赞振华实验学校，正文直接 URL 尚未恢复",https://mt.sohu.com/kindfeed/learning/20260623/50,strong_lead,"反查搜狐内容 ID、原标题转载、学校官网/公众号和图片 CDN"
