rank,post_url,post_date,post_title,issue_hints,media_url,sha256,width,height,geometry_class,text_chars,keyword_hits,issue_matches,page_matches,ocr_excerpt,classification,error
1,https://blog.sina.com.cn/s/blog_4c4fc7d90100ll3y.html,2010-09-30,白小葱的故事_齐鲁少年编辑部的故事_新浪博客,941,http://s7.sinaimg.cn/bmiddle/4c4fc7d9t9173dd4a80c6&690,ecc022387c87b0ade5c15e323b482cc45f9c39c5f70f288c79694b4587113f2a,439,1356,vertical_strip_fragment,113,,,A|B,"Af OP me 惹祸的“三字经” Ha 28 = 下 bi [anes ame. AS 1 WS; | | SN | fe At 5 26 国 } i A oO Ae | i Azan. tekte, T] RA ike, ee B mae, BI. J — Ve Oe). Coe Ye Er 还不服气，、 isn.",newspaper_fragment_candidate,
2,https://blog.sina.com.cn/s/blog_4c4fc7d90100ll3y.html,2010-09-30,白小葱的故事_齐鲁少年编辑部的故事_新浪博客,941,http://s7.sinaimg.cn/large/4c4fc7d9t9173dd4a80c6&690,0aab56a30063cfc7576a338ea22ad48e999c404e7ce8262073598377ab9c9ad2,439,1356,vertical_strip_fragment,106,,,,"J 6) 小 de 故事 惹祸的“三池经”和 多 pA — My 全 6 | AS 1 WY, tad ria Pe | ¢ 7 -下司 六 SIN y Tay ) | AZ, PERE, i | iat, Be. 用 — Ve DH ~ a) Ree ame | 还不服气， al STEM ba! ly)",newspaper_fragment_candidate,
3,https://blog.sina.com.cn/s/blog_4c4fc7d90100ll47.html,2010-09-30,白小葱的故事_齐鲁少年编辑部的故事_新浪博客,941,http://s8.sinaimg.cn/bmiddle/4c4fc7d9t91740041c527&690,eb7b23525609827502b5071d9cc0f16d254150f422ce2a1bea6975be22177117,439,1356,vertical_strip_fragment,112,,,,<<) am 故事 ANE a a? 提升提吧? U. New < Ra te Se ae 好说话了? ic Ag) 好 Ra {a = J AES [HE OE SSS -共3道。 an — - |) oes \ oo AY 4 HO AM. AYE! pa Se Wl) az Bw / Vay 6 EN [eS ee,newspaper_fragment_candidate,
4,https://blog.sina.com.cn/s/blog_4c4fc7d90100ll47.html,2010-09-30,白小葱的故事_齐鲁少年编辑部的故事_新浪博客,941,http://s8.sinaimg.cn/large/4c4fc7d9t91740041c527&690,55dc46f8acd9b400d1ac96f69cf8057218f2bd072d90e6127c58a9a15096f6cd,439,1356,vertical_strip_fragment,107,,,,个 CA de 故事 ANE a? 提升提吧? 万 New . AM一 AD RR Aone 好说话了? c a Ag) Ra ie = J AES SSS SSS aaa SS te -共3道。 an — - || aa \ oe it AN ANE! a By Ne Vey 6 WN S ——eS as,newspaper_fragment_candidate,
5,https://blog.sina.com.cn/s/blog_4c4fc7d90100ll4e.html,2010-09-30,白小葱的故事_齐鲁少年编辑部的故事_新浪博客,941,http://s2.sinaimg.cn/orignal/4c4fc7d9t91740f7d40b1&690,e58396f460d406724f81994e36b638888733fb1344519ce5c4051a9743265e43,439,1356,vertical_strip_fragment,45,,,,"包 > ae —)\a e me g samen NY Z a a an 会 ty, || pr Pa Vy es ; i yy \ 产，",non_newspaper_or_low_text,
6,https://blog.sina.com.cn/s/blog_4c4fc7d90100ll4e.html,2010-09-30,白小葱的故事_齐鲁少年编辑部的故事_新浪博客,941,http://ss2.sinaimg.cn/bmiddle/4c4fc7d9t91740f7d40b1&690,a9bdf40e70d2f8d74b10f221470285496dcc3b39ea90e71a3fef4aa3a2d6d0d1,439,1356,vertical_strip_fragment,42,,,,"RK By ae lex «| bY es 8, 4 aliens NI 8 a ee a ri 人 Loy i, /] ¥",non_newspaper_or_low_text,
7,https://blog.sina.com.cn/s/blog_4c4fc7d90100ll4h.html,2010-09-30,白小葱的故事_齐鲁少年编辑部的故事_新浪博客,941,http://s12.sinaimg.cn/bmiddle/4c4fc7d9t91742152fc4b&690,d9ab7849278e64caf48dd31f1f4be401633b6ae85635437259c07f817ca111e4,439,1356,vertical_strip_fragment,108,,,,"OK 人 ac BLS) “严重和和 SE ae oe J) a Yh 让 SS Wey 4 ‘et a 上| a Nas? r3 emer ‘‘ | i 全中，你的小神子可 We a ee, ol) oj大 你穿| 加| 各 孩了! ~w aS VFA Ys a eS lim! RY) We: Nis",newspaper_fragment_candidate,
8,https://blog.sina.com.cn/s/blog_4c4fc7d90100ll4h.html,2010-09-30,白小葱的故事_齐鲁少年编辑部的故事_新浪博客,941,http://s12.sinaimg.cn/large/4c4fc7d9t91742152fc4b&690,5a7686b257f386363761175f22d8b1942988c28f4958475fc492578a33abaabc,439,1356,vertical_strip_fragment,137,,,A,"OE Ms ae <n 岗': 王 ay A ae ce: ST goat | lla \ NWA Ay ste al fee eS | vn ~ 不能助长她买 ay AIF 全 eek r | A ye cecia wi, SS Y SSR P| ee, 2 as, «a> Lema | dim tail Ne eee G AS aN ol an (S Ki? RY) ite: m4 i",newspaper_fragment_candidate,
9,https://blog.sina.com.cn/s/blog_4c4fc7d90100ll4l.html,2010-09-30,白小葱的故事_齐鲁少年编辑部的故事_新浪博客,941,http://s6.sinaimg.cn/bmiddle/4c4fc7d9t91742b0dfa95&690,192ec62473c99a8829f42a6efaf8fc1563e211685848cf612b854939cae69373,439,1356,vertical_strip_fragment,179,,,,"对和”全 人从 BAT ow _ | beat AAD NS soe? i. acy, (7a ww \ 姥姥， i 3 吃个 < 农场 LEER EA QRROD ‘GZ , 7 Ge) FIO Ee Wada NS Mal aime a LN TH xe VS es aT THI 列国 sess / Ae Ss BAS 人 妈，您出门怎么 生肖 CO) 也不给我发个短 S yc AR Nii. esi, | | eee |) eae 外 加Eee |人六 a ie oa ae al Bead",newspaper_fragment_candidate,
10,https://blog.sina.com.cn/s/blog_4c4fc7d90100ll4l.html,2010-09-30,白小葱的故事_齐鲁少年编辑部的故事_新浪博客,941,http://s6.sinaimg.cn/large/4c4fc7d9t91742b0dfa95&690,7ece8ef21cf463c01fa56c334a4d4be9315748d20d81fa63e56cb61d3904df72,439,1356,vertical_strip_fragment,131,,,A|D,"Dy ©) ay de 故事 对和>到 ae BAH — | mt MAD 要 Vit a. shh I 姥姥， A WAS tee! 给你摘啊? Sa SA A is Voce 2) 上 党 A. 人 | pene < ei Seem AMY ee: 8 SA PY Nia. ease, || ee {| D HF WEA! jj H fil oe 了> ee 本 7 | a",newspaper_fragment_candidate,
