region,psm,threshold,crop_width,crop_height,text_chars,evidence_hits,issue_matches,page_matches,ocr_excerpt,error
full,3,no,1944,2592,29,sponsor,,,X 山下省少工委主内 y eek Brn a 7 Soe LAS HINKE,
full,11,no,1944,2592,85,official_site|official_qq,,,"到 aS es PAH, om) EAs http:/Awww.qisn.com QQ; 857087447 X wxevraem Vv v ""2 Bs ="" 多2年1月3日出版 >» Ve ntl fi yy;",
full,3,yes,1944,2592,13,,,,AS 多Rn v ee ASHIK,
full,11,yes,1944,2592,84,official_qq,,,"人 fon, oJ 0 httpyAwww.gqlen.corm GQ: 857087447 % uxevtssn Vv v v G2 Brun e"" ee ASHIK a ie ae poe (or “| {AA",
top_18,6,no,1944,467,162,,,,"MUM Ra vege! oe ae bes atte moe Poteet at hay.) ee. a i | 0 人 人 oa EE ee Rea 2 2 SI) ned ee ae Me 了 1 AV OPS aa eee eee : eres be p , . ie ene mA gi — ee eee ee: oe 2% ‘Se Po 2a pasion — Jr elias 4 PN is ae ye Ee bOAG4 (wan) Le a |",
top_18,11,no,1944,467,46,,,a4,a4; ee ae ae He fd mo ie aE 可 iN caniienent UN sf bOAG4 (wan),
top_18,6,yes,1944,467,62,,,,"ae imines “a “Siete poe , 本 人 . ， 2 — ee 3 whe ss a or ae c - . vite fee | a f Ff “少年厂) 加 ee",
top_18,11,yes,1944,467,14,,,,ae att eo) v 《少年版),
top_32,6,no,1944,829,83,official_qq|sponsor|shandong,,,"| , © eee . j PEA He v2) —— i. http://www.qlisn.com QQ; 857087447 “| %. 山东省少工委主办 ae [= x Vv oe \\ bo eee ? wo",
top_32,11,no,1944,829,62,official_qq|sponsor,,,Shee Vt A He (om) http://www.qlisn.com QQ; 857087447 又 山乐省少工委让办 XA oo \\ & A,
top_32,6,yes,1944,829,92,official_qq|sponsor|shandong,,,"a re = yp ft. dt de DEB) ; . . PEE a - OS oe . a http://Awww.qlen.com QQ: 857087447 i, ee ge 4% 山东省少工委主人办 本 x Vv | _ > ow w wo",
top_32,11,yes,1944,829,74,official_qq|sponsor,,,) & Sohed : PEAT (oem) http:/Awww.qien.com QQ; 857087447 % 山乐省少工委主办 XA Vv aw Hy sw ahh wW Se,
top_left,6,no,1128,907,70,,,,"ae oui ij | bee = Pt 44 帮 (DER) ;, . : pocorn ss http://www.qlen.com QQ ¢ g ax oO » 8% S08 ee.",
top_left,11,no,1128,907,43,official_site,,,” Soe] fone tA He on) http://www.qisn.com XA Vv i eee,
top_left,6,yes,1128,907,46,official_site,,,(ay ‘ = ran http://www.qisn.com QQ j | ¢€ P- \ ex _ BS. of Ae,
top_left,11,yes,1128,907,36,official_site,,,得 PAA Hg Comm http:/Awww.qisn.com ae? Brun,
top_right,6,no,1128,907,91,official_site|official_qq,,,"ee mere a) Bins . | ie , beeen ute oS i oe ee le eae j ae a : pe CS i : /Www .qlsn com QQ; 857087447 ed De Sane call % were, a",
top_right,11,no,1128,907,39,official_site,,,让 & ea A /Inww.qisn.com aa: PR % UR aD T BET) ww. ww,
top_right,6,yes,1128,907,46,official_qq|shandong,,,www.qlen.com QQ: 857087447 _ i 7 no ee 也 山东省少 = ae ‘ 向 多 oe of,
top_right,11,yes,1128,907,37,official_qq|sponsor|shandong,,,区 wwwqlen com GQ: 857087447 S. 山东省少工要主办 Vv v »,
middle,6,no,1944,1374,72,publication_date,,,本 “ arcane pias Rs ae ia oe i “ye iy Bee 是 3. Oo oi 4h oe — | BV 0 S ”2012年1月3日出版 ， 和 Re j i. J 2 ” — = 7 —,
middle,11,no,1944,1374,35,publication_date,,,ook 天NA pene v Vy 01458 06- ad 2012年1月3日出版 1,
middle,6,yes,1944,1374,41,publication_date,,,Biers ER ca 和 pera iee fe 10 | 号 2012年1月3日出版 本 i ie a | .,
middle,11,yes,1944,1374,22,,,,"a v Vy ""03498 Aaa Pee SHIR ~ \",
bottom_25,6,no,1944,648,115,,,,"” 通 a oo a - a 4 fat sa ) - a 5 * “_ Ba = e a ci — : eee e = igen de eeee Ness rf a Be gt IS Ee cere, oe ee i iF eet i ee as arnt e ) See ae od ai i cas rane a ee i ; ast 、 < pa",
bottom_25,11,no,1944,648,18,,,,a a ae ernst ec (ct «3 2 |,
bottom_25,6,yes,1944,648,105,,,,， 。 a = oy s a w ‘| ‘ a 要 - Fig j . “4 « ie ah | me Un * ; : ¥ a” oe _ Fs ara a . ns a Be ese e - 一 San |G 加 ， 有 . ~ - 站 RE =n @ ; ast! 4 | 。 RE 5 eh 和 add 村 eh -人 . con _ GE,
bottom_25,11,yes,1944,648,30,,,,四 - ge ye es es + perc in i ig a nel \.6 | {7,
bottom_left,6,no,1069,726,215,,,,"ee eat ce 3 ee ¥ er ‘ ya i ; 1 ¥ fis : pees pean: \ 4 aes ase | Birnie, j he... ic 2 aa Nata 2 ear Aig! = ig he % \ ""ye ; ia i ~ . | : / 二 : pees Pe elven ag , =和 g ‘ Ss es : . Ye . ee ye =a tr . 3 a ee 4 BS pes ean — sé 2 ee eae oii Ba ee 4 a > » | foe 全 pe niet eee a fae a Br Shin ae neat 1 y Pian Sneek. 2 SR ee St ihe",
bottom_left,11,no,1069,726,33,,,,e a ee y 通 a aH iy ea © 本 ' a ca fs ‘= ay Ts pit: KS,
bottom_left,6,yes,1069,726,48,,,,"ae « a a ; ¥ a i » a i. , ’ a Se? 本 e . _~ "" ~ _ “ _ we a a © ae Pe et . ne oar oo",
bottom_left,11,yes,1069,726,10,,,,a ences Pe ad,
bottom_right,6,no,1069,726,166,,,,". : s Z ee = a bis 7 : i perenne een rs ea ese, Zee — Dae "" sy etal ees ook dé ee ecinmemamumee yy OS = x : \ at Tea ; | = 5G Son ha 本 a Bia cs oi LS aac en ES Eady TOR Aid 8 ae Re pei: Rowwiepapason 人 — ae es a < CREE RISE cs EY Rie.",
bottom_right,11,no,1069,726,39,,,,ga ia ig rm Bia: or eas ae Sat By te 6 iis _— fad Lain,
bottom_right,6,yes,1069,726,136,,,,本 ， * or BS : 本 a 5 要 . ， ee. gn er Bat a ， oe | a . eee rn ioe ae ad i) Pee _ noes Gi lned ip tthecd Higeutrana GES ee RD aa ie 7 . gig Ot 了 SS RS ee ees wate - ms et 人 : ane i x 人 : gia RES _ Pease:,
bottom_right,11,yes,1069,726,68,,,,"“8 ve * = a nt ae: at oe ao a a a ate iag SOR a me i Ske, lee er as Daii ESESRAMS race 2 paige a",
