year,status,electronic_evidence,notes
2000,not_found_yet,,已确认当年持续出版；尚未找到可核验电子版
2001,found,dzwww HTML,2001-08-03 至少9个原生电子报页面
2002,not_found_yet,,Wayback 2002抓取包含2001内容，不得误算为2002出版
2003,not_found_yet,,Wayback 2003抓取包含旧栏目页，不等于2003期次
2004,not_found_yet,qlsn.com publication policy,"旧官网简介已恢复，明确记载《齐鲁少年》为4开4版、每周二出版、月末另出A/B/C/D版；尚未恢复明确对应2004期号的原始电子报文章或整版扫描。"
2005,not_found_yet,,尚未恢复明确对应期号的原始电子页或整版扫描
2006,found,qlsn.com HTML,"旧官网已恢复第740期原生HTML《科学让他们登上今天的舞台》；正文署名“本报记者 李珊 雨虹 第740期”。以924期=2010-06-08和每周二出版规则回推，740期推定出版日为2006-11-28；该日期标记为inferred_weekly。"
2007,found,qlsn.com HTML + official paths,"第745期已恢复3篇原生HTML；官方首页快照另直接保存第780、781、784、785、786、787期的带期号文章路径。24个2007/2009官方子页专项Wayback抢救结果为0正文恢复，因此这些路径继续标记path_verified。"
2008,metadata_only,award title anchors,"中国少年儿童报刊工作者协会资料明确列出《齐鲁少年报》2008年三篇作品及作者：纪晶《尖子生落马三好评选——也谈德智体全面发展》《穿越罗布泊的女孩》、王育红《铁窗外的期盼——写给大墙内的妈妈》；尚未恢复原始电子页/扫描。"
2009,path_coverage_proven,qlsn.com official-home paths,"2009官方首页Wayback快照直接保存第858、869、870、872、873、895、897、898、899、900期的带期号原始文章/公告路径；以924期日期锚点和周二出版制度建立inferred_weekly日期。24个官方子页Wayback正文恢复为0，下一阶段转Common Crawl与外部转载/扫描件。"
2010,metadata_only,official editor blog + official forum,"规范化后确认2010期号锚点至少包括902、913、915、917、918、920、924、925、926、927、928、941、944、950、951、953；其中官方论坛明确纠正为“2010年的6月8日第924期”，与旧官网“每周二出版”规则一致，并可作为周序时间轴锚点。原始抓取中的294为924误写；965/967实际属2011。论坛另有2010-10-21用户询问何时有电子版，提示当时可能尚无完整数字报系统，但不能据此绝对排除其他电子文件。"
2011,metadata_only,,"第1000期及989-1001期存在明确期号锚点；编辑部博客2011-11-22发布创刊1000期纪念文，与924期=2010-06-08按周递增恰好一致；尚未找到对应整版电子报。"
2012,metadata_only,,1002-1014、1018、1044、1049、1053-1055、1057等期号可由编辑部资料确认，尚未找到整版电子报
2013,not_found_yet,,
2014,not_found_yet,,qlsn.com 此时快照已显示山东省青少年活动中心，不能把同域资源自动归为《齐鲁少年》
2015,not_found_yet,,
2016,not_found_yet,,qlsn.com 部分快照已被垃圾/SEO污染，必须逐页核验
2017,not_found_yet,,
2018,not_found_yet,,
2019,metadata_only,,小读者十周年网站存在；普通读者资料不算电子版
2020,system_coverage_proven,szb.cnssiot.cn,"数字报首页快照显示 mindate=2020-11-30；Wayback专项查询 szb.cnssiot.cn/content/2020* 与 Img/2020* 均成功返回0条，因此Wayback未保存2020内容页或媒体资产；具体版面须转第三方镜像/转载来源恢复"
2021,found,szb.cnssiot.cn,"2021-12-25 A1-A8路径已恢复；A1手机图名已确定对应PC图公式 pc{yyyyMMdd}{same_guid32}.jpg，但该PC资产在Wayback/失效原站未恢复；Pagepdf为独立上传字段，不可由Pagepic文件名推导"
2022,metadata_only,,2022-01寒假合刊实物活动可证出版；电子版路径仍待恢复
2023,found,scan image,第1616期1版整版图可核验
2024,not_found_yet,,
2025,not_found_yet,,
2026,not_found_yet,,
